index,source,translation,score
49,Generate a CSS animation of a ball bouncing up and down.,Menjana animasi CSS bola melantun ke atas dan ke bawah.,-0.5698155164718628
50,"Create a SQL query to list the names and addresses of all customers in the ""customers"" table, sorted...","Buat pertanyaan SQL untuk menyenaraikan nama dan alamat semua pelanggan dalam jadual ""Pelanggan"", di...",-0.042831163853406906
51,Generate an efficient code to sort a sequence of numbers.,Menjana kod yang cekap untuk menyusun urutan nombor.,0.06122668460011482
52,Create a function to remove all non-alphabetical characters from a string,Buat fungsi untuk mengalih keluar semua aksara bukan alfabetikal dari rentetan,-0.4921320378780365
53,Create a hash table in C++ to store strings.,Buat jadual hash di C ++ untuk menyimpan rentetan.,-0.2435666024684906
54,Suggest improvements to the following JavaScript program that calculates the average of a given arra...,Cadangkan penambahbaikan kepada program JavaScript berikut yang mengira purata pelbagai nombor yang ...,0.10741536319255829
55,Create a Taskrabbit-style website for a local business.,Buat laman web gaya TaskRabbit untuk perniagaan tempatan.,0.023671790957450867
56,"Generate a SQL query to find the average salary of employees from ""North"" region.","Menjana pertanyaan SQL untuk mencari gaji purata pekerja dari rantau ""Utara"".",-0.2376546561717987
57,"Create an Adventure class with methods to create, initialize, get heroes, check if it can be claimed...","Buat kelas pengembaraan dengan kaedah untuk membuat, memulakan, dapatkan wira, periksa jika ia boleh...",-0.5749282240867615
58,Can you generate a code that outputs the longest string in a given list of strings?,Bolehkah anda menghasilkan kod yang mengeluarkan rentetan terpanjang dalam senarai rentetan yang dib...,0.17246611416339874
59,Generate a python program to modify all the characters in a string to lowercase,Menjana program python untuk mengubah suai semua aksara dalam rentetan ke huruf kecil,0.1161971390247345
60,Generate a random password of length 10 with at least one special character and one number.,Menghasilkan kata laluan rawak panjang 10 dengan sekurang -kurangnya satu watak khas dan satu nombor...,-0.21269604563713074
61,Describe an architecture for a chatbot that can engage in small talk with the user.,Huraikan seni bina untuk chatbot yang boleh terlibat dalam ceramah kecil dengan pengguna.,0.3593221604824066
62,Update the code snippet to improve the performance of the following command.,Kemas kini coretan kod untuk meningkatkan prestasi arahan berikut.,-0.42759665846824646
63,Output the number of distinct elements in a given array,Output bilangan elemen yang berbeza dalam pelbagai tertentu,-0.6307308077812195
64,Create a web scraping program to get the current prices of top 10 cryptocurrencies,Buat program mengikis web untuk mendapatkan harga semasa 10 kriptografi teratas,0.0415034219622612
65,Generate a for loop to print out the numbers from 3 to 15 (inclusive),Menjana gelung untuk mencetak nombor dari 3 hingga 15 (termasuk),-0.15450525283813477
66,Write a code to delete an element from a min heap.,Tulis kod untuk memadam elemen dari timbunan min.,-0.5984647870063782
67,Write a R script to calculate the median of an array of numbers,Tulis skrip R untuk mengira median pelbagai nombor,-0.5384108424186707
68,Replace all special characters in the given string with its HTML entity.,Gantikan semua watak khas dalam rentetan yang diberikan dengan entiti HTMLnya.,-0.39170706272125244
69,Write a Python function to sort the given list of strings using the length of the strings instead of...,Tulis fungsi python untuk menyusun senarai rentetan yang diberikan menggunakan panjang rentetan dan ...,0.059867292642593384
70,Write a Matlab code to calculate the mean of a given set of numbers.,Tulis kod MATLAB untuk mengira min set nombor yang diberikan.,0.005366254597902298
71,Write a SQL query that can find the closest match to a given string.,Tulis pertanyaan SQL yang dapat mencari perlawanan terdekat pada rentetan yang diberikan.,-0.400029718875885
72,Create a machine learning model in Python that predecits customer lifetime value given a customer's ...,Buat model pembelajaran mesin di Python yang mendahului nilai seumur hidup pelanggan yang diberikan ...,-0.3850924074649811
73,"Given an array of characters, find the first non-repeating character.","Memandangkan pelbagai watak, cari watak yang tidak berulang pertama.",-0.5128189325332642
74,Design a program to find the maximum of an array of numbers,Merancang program untuk mencari maksimum pelbagai nombor,-0.1518515944480896
75,Construct a Python program that shuffles a deck of cards.,Bina program Python yang mengepam dek kad.,-0.5648474097251892
76,Filter a given array of strings based on its length,Menapis pelbagai rentetan yang diberikan berdasarkan panjangnya,-0.4954799711704254
77,Implement a selection sort algorithm for a given array of integers.,Melaksanakan algoritma jenis pilihan untuk pelbagai bilangan bulat.,-0.48134830594062805
78,"Generate a correct class that creates an object with two private values, one is a string and the oth...","Menjana kelas yang betul yang mencipta objek dengan dua nilai peribadi, satu adalah rentetan dan int...",-0.5846683382987976
79,Create an array of lowercase alphabets using Java.,Buat pelbagai huruf huruf kecil menggunakan Java.,-0.014692191034555435
80,Generate a valid Python script which calculates the median of a given  list of numbers.,Menjana skrip python yang sah yang mengira median senarai nombor yang diberikan.,-0.6013869047164917
81,Create a JavaScript function for calculating the average of an array of numbers.,Buat fungsi JavaScript untuk mengira purata pelbagai nombor.,-0.08631029725074768
82,Generate a correct JavaScript program to convert an array of strings into an array of objects.,Menjana program JavaScript yang betul untuk menukar pelbagai rentetan ke dalam pelbagai objek.,0.013676296919584274
83,Generate a regular expression to match all numbers which start with 6,Menjana ungkapan biasa untuk memadankan semua nombor yang bermula dengan 6,-0.2571333050727844
84,Rearrange the characters in the string so that it is in alphabetical order.,Susun semula watak -watak dalam rentetan supaya ia berada dalam susunan abjad.,0.23148006200790405
85,Construct a simple for loop in Swift to print all the elements in an array of strings.,Bina mudah untuk gelung di Swift untuk mencetak semua elemen dalam pelbagai rentetan.,-0.7020652890205383
86,Suggest an algorithm to solve a Rubik's cube.,Cadangkan algoritma untuk menyelesaikan kiub Rubik.,0.3882615268230438
87,Create a Redux action to update a user's profile information,Buat tindakan Redux untuk mengemas kini maklumat profil pengguna,-0.0654180496931076
88,Generate a SQL query to retrieve all the records with a salary of more than $3000,Menjana pertanyaan SQL untuk mengambil semua rekod dengan gaji lebih daripada $ 3000,-0.3571717143058777
89,Generate a query in SQL that returns only those records from a table which contain a given string in...,Menjana pertanyaan di SQL yang mengembalikan hanya rekod dari jadual yang mengandungi rentetan yang ...,-0.5997611880302429
90,Rewrite the following Bubble Sort algorithm so that it performs an in-place sort,Tulis semula algoritma jenis gelembung berikut supaya ia melakukan jenis di tempat,-0.7634015679359436
91,Create a function that takes a list of integers and returns the list sorted by increasing frequency ...,Buat fungsi yang mengambil senarai bilangan bulat dan mengembalikan senarai yang disusun dengan meni...,-0.14798897504806519
92,Write a JavaScript code showing an example of the concept of Functional programming.,Tulis kod JavaScript yang menunjukkan contoh konsep pengaturcaraan berfungsi.,-0.04604591056704521
93,Generate a code to convert a number into its binary representation.,Menjana kod untuk menukar nombor ke dalam perwakilan binari.,-0.3907919228076935
94,Write a code to generate a random string of length 5 using Python.,Tulis kod untuk menghasilkan rentetan panjang rawak 5 menggunakan python.,-0.07372590899467468
95,Generate a valid JSON from a given Python dictionary.,Menjana JSON yang sah dari kamus python yang diberikan.,-0.4718177914619446
96,Generate a sort function to sort a list of employee objects in descending order,Menjana fungsi jenis untuk menyusun senarai objek pekerja dalam urutan menurun,-0.40101680159568787
97,Create an algorithm to sort a given array of integers in O(nlog n) time complexity.,Buat algoritma untuk menyusun pelbagai integer yang diberikan dalam kerumitan masa O (NLOG N).,-0.28992536664009094
98,Design a SQL database table to store a list of banks and their locations.,Reka bentuk jadual pangkalan data SQL untuk menyimpan senarai bank dan lokasi mereka.,0.3570127785205841
99,How would you sort an array of strings in ascending alphabetical order in JavaScript?,Bagaimanakah anda menyusun pelbagai rentetan dalam susunan abjad menaik dalam JavaScript?,0.03197215870022774
100,Create a Python code to inform the user the closest airport for their current location.,Buat kod python untuk memaklumkan kepada pengguna lapangan terbang terdekat untuk lokasi semasa mere...,0.2569798529148102
101,Write a Python program to delete vowels from a given string.,Tulis program python untuk memadam vokal dari rentetan yang diberikan.,-0.33424505591392517
102,Write a Python program to generate N random numbers.,Tulis program python untuk menjana nombor rawak n.,-0.06340008974075317
103,Generate a function to convert a given decimal to binary.,Menjana fungsi untuk menukar perpuluhan yang diberikan kepada binari.,-0.9434211850166321
104,Craft a program that plots the frequency of a given character in a given string.,Kerajinan program yang merancang kekerapan watak tertentu dalam rentetan yang diberikan.,-0.432597279548645
105,Modify the existing python program to fulfill the following purpose,Ubah suai program Python yang ada untuk memenuhi tujuan berikut,0.4759196937084198
106,Create a class to represent a number with a power of 3.,Buat kelas untuk mewakili nombor dengan kuasa 3.,-0.3032855987548828
107,Create a C# program that implements a hash table.,Buat program C# yang melaksanakan jadual hash.,-0.08073121309280396
108,Construct a frequency table for the given set of values.,Bina jadual kekerapan untuk set nilai yang diberikan.,-0.16027036309242249
109,Write a function to create a word counting dictionary for a given sentence,Tulis fungsi untuk membuat kamus mengira perkataan untuk ayat yang diberikan,-0.21568448841571808
110,Construct an algorithm in Golang to capitalize all the letters in a given string,Bina algoritma di Golang untuk memanfaatkan semua huruf dalam rentetan yang diberikan,0.126762256026268
111,Create a function to generate the multiplication table of a given number up to 10.,Buat fungsi untuk menjana jadual pendaraban nombor tertentu sehingga 10.,-0.7959066033363342
112,Generate code in Java that reverses a string,Menjana kod di java yang membalikkan rentetan,-0.010344333946704865
113,Generate a program that takes a given array of integers and returns the maximum continous sum.,Menjana program yang mengambil pelbagai bilangan bulat dan mengembalikan jumlah maksimum yang berter...,-0.5268571376800537
114,Calculate the mean of the array.,Kirakan min array.,-1.0051244497299194
115,Find the closest matching string from a list of strings to a given pattern,Cari rentetan padanan terdekat dari senarai rentetan ke corak yang diberikan,-0.42318567633628845
116,Unroll the following loop into code (without using a loop):,Buka gelung berikut ke dalam kod (tanpa menggunakan gelung):,-0.5083986520767212
117,Optimise the given code by reevaluating inefficient elements,Mengoptimumkan kod yang diberikan dengan menilai semula unsur -unsur yang tidak cekap,0.13111457228660583
118,Create a code to scan a website for broken links.,Buat kod untuk mengimbas laman web untuk pautan yang rosak.,-0.4892197549343109
119,What SQL query would you use to find the 10 oldest records in a table?,Apakah pertanyaan SQL yang akan anda gunakan untuk mencari 10 rekod tertua dalam jadual?,0.007524598389863968
120,Create a Kotlin program that calculates the average of a list of integers.,Buat program Kotlin yang mengira purata senarai bilangan bulat.,-0.6268491744995117
121,Write a code snippet to search an element in a binary search tree.,Tulis coretan kod untuk mencari elemen dalam pokok carian binari.,-0.1457359492778778
122,Generate an HTML table to display the given data.,Menjana jadual HTML untuk memaparkan data yang diberikan.,0.34110066294670105
123,Create an HTML page that outputs the multiplication table of a given number.,Buat halaman HTML yang mengeluarkan jadual pendaraban nombor tertentu.,-0.35550233721733093
124,Create a JavaScript application that displays the number of times a button has been clicked.,Buat aplikasi JavaScript yang memaparkan bilangan kali butang telah diklik.,-0.11139354109764099
125,Generate a code snippet in Java to find the average of the elements of a given array.,Menjana coretan kod di Java untuk mencari purata unsur -unsur array yang diberikan.,-0.37530216574668884
126,Generate Python code to detect whether a given sentence is a palindrome,Menjana kod python untuk mengesan sama ada ayat yang diberikan adalah palindrome,-0.42132553458213806
127,Implement a JavaScript function to validate passwords. The function should check whether a given pas...,Melaksanakan fungsi JavaScript untuk mengesahkan kata laluan. Fungsi ini harus memeriksa sama ada ka...,0.36936071515083313
128,Create a function to retrieve a value from a nested dictionary given a list of keys.,Buat fungsi untuk mendapatkan nilai dari kamus bersarang yang diberikan senarai kekunci.,-0.5731807947158813
129,"We'd like to have a program that given the center of a circle and its radius, generates a list of th...","Kami ingin mempunyai program yang diberikan pusat bulatan dan jejarinya, menghasilkan senarai koordi...",-0.3377632200717926
130,"Using Python, find the mean of a randomly generated array of integers of size 10.","Menggunakan Python, cari min pelbagai integer saiz 10 yang dijana secara rawak.",-0.4620439112186432
131,Generate the powerset of a given set.,Menjana kuasa set yang diberikan.,-0.5329622626304626
132,Debug a given program that calculates the average value of an array of numbers.,Debug Program yang diberikan yang mengira nilai purata pelbagai nombor.,-0.16935157775878906
133,Construct a code snippet to generate a random integer between the given range of 0 to 5.,Bina coretan kod untuk menghasilkan integer rawak antara julat yang diberikan 0 hingga 5.,-0.23906686902046204
134,Write a JavaScript code snippet to compare two numbers and show a message the higher number,Tulis coretan kod JavaScript untuk membandingkan dua nombor dan tunjukkan mesej nombor yang lebih ti...,0.065206378698349
135,Code a function that takes an array of strings and returns the reversed words of each string.,Kod A Fungsi yang mengambil pelbagai rentetan dan mengembalikan kata -kata terbalik setiap rentetan.,-0.6344562768936157
136,Create a Python program to sort a given list using the merge sort algorithm,Buat Program Python untuk menyusun senarai yang diberikan menggunakan algoritma Sort Gabungan,-0.19594652950763702
137,Compute the Maximum Likelihood Estimation for a given list of data points.,Kirakan anggaran kemungkinan maksimum untuk senarai titik data yang diberikan.,-0.09910468757152557
138,Compose a SQL query to update the table with the list of items.,Tulis pertanyaan SQL untuk mengemas kini jadual dengan senarai item.,0.011566445231437683
139,Create an algorithm to find the total number of ways to reach the top of a staircase  given the numb...,Buat algoritma untuk mencari jumlah cara untuk mencapai bahagian atas tangga yang diberikan bilangan...,0.0945364385843277
140,Write a SQL query to calculate the average of values of a given column.,Tulis pertanyaan SQL untuk mengira purata nilai lajur yang diberikan.,-0.20858269929885864
141,Construct a Swift program that sorts a given array of integers in ascending order.,Membina program SWIFT yang menyusun pelbagai bilangan bulat dalam urutan menaik.,-0.43734362721443176
142,Generate a strong password of eight characters consisting of numeric and alphanumeric characters.,Menjana kata laluan yang kuat sebanyak lapan aksara yang terdiri daripada aksara angka dan alfanumer...,0.38627350330352783
143,Write a java method that reverses a given array of integers in place.,Tulis kaedah Java yang membalikkan pelbagai integer yang diberikan.,-0.18693804740905762
144,Optimize a Python program to check for prime numbers,Mengoptimumkan program python untuk memeriksa nombor perdana,-0.11676084995269775
145,Can you detect the language of a given text using a programming language?,Bolehkah anda mengesan bahasa teks tertentu menggunakan bahasa pengaturcaraan?,0.47581055760383606
146,Design an algorithm that sorts a list of doubles in increasing order.,Reka bentuk algoritma yang menyusun senarai beregu dalam peningkatan urutan.,-0.32858529686927795
147,Write a React component which renders a progress bar with a dynamically updated width according to a...,Tulis komponen React yang menjadikan bar kemajuan dengan lebar yang dikemas kini secara dinamik meng...,-0.4259772300720215
148,Generate a code to convert an integer to binary.,Menjana kod untuk menukar integer ke binari.,-0.057372476905584335
149,Write a code to automate a login process for a website,Tulis kod untuk mengautomasikan proses log masuk untuk laman web,0.498380571603775
150,"Generate an array of all the powers of two, starting from 0 up to n.","Menjana pelbagai kuasa dua, bermula dari 0 hingga n.",-0.305582195520401
151,Implement a function that takes a given string as input and returns its reverse,Melaksanakan fungsi yang mengambil rentetan yang diberikan sebagai input dan mengembalikan sebalikny...,-0.7389134764671326
152,Construct an Android app that calculates the square root of a given number.,Bina aplikasi Android yang mengira akar kuadrat nombor tertentu.,0.16167764365673065
153,Generate a python class for a linked list.,Menjana kelas Python untuk senarai yang dipautkan.,-0.48403140902519226
154,Create a SQL query that calculates the average age of customers in a table.,Buat pertanyaan SQL yang mengira umur purata pelanggan dalam jadual.,-0.5129435658454895
155,Generate Python code to print a formatted table from a given list of dictionaries.,Menjana kod python untuk mencetak jadual yang diformat dari senarai kamus yang diberikan.,-0.0009043216705322266
156,Construct a Binary Search Tree given a sorted array of integers.,Bina pokok carian binari yang diberikan pelbagai integer yang disusun.,-0.6935898065567017
157,Generate a random string that consists of only numbers and English alphabets with length of 8 charac...,Menjana rentetan rawak yang terdiri daripada hanya nombor dan abjad Inggeris dengan panjang 8 aksara...,0.32048264145851135
158,"Given an array of strings, calculate the length of the longest string.","Memandangkan pelbagai rentetan, hitung panjang rentetan terpanjang.",-0.5310115218162537
159,Design a SQL table for storing customer transactions.,Reka bentuk jadual SQL untuk menyimpan urus niaga pelanggan.,0.31697556376457214
160,Create a Hash Table that provides fast lookups and updates.,Buat jadual hash yang menyediakan carian dan kemas kini yang cepat.,-0.0048545487225055695
161,Generate a function in R that given a single input returns the squared value,Menjana fungsi dalam r yang diberikan input tunggal mengembalikan nilai kuadrat,-0.42176440358161926
162,"Write a JavaScript program to alphabetically sort an array of strings, ignoring upper/lower case dis...","Tulis program JavaScript untuk mengikut abjad menyusun pelbagai rentetan, mengabaikan perbezaan kes ...",-0.3576466739177704
163,Encode a string in place so that any character that appears more than twice is encoded as its count ...,Kodkan rentetan di tempat supaya mana -mana watak yang muncul lebih daripada dua kali dikodkan sebag...,-0.5129494071006775
164,Write a Python program to convert a query string into a dictionary.,Tulis program Python untuk menukar rentetan pertanyaan ke dalam kamus.,0.1347830444574356
165,Compute the greatest common divisor of two numbers,Kirakan pembahagi biasa dua nombor,-0.32860875129699707
166,Write a code that takes an array of strings and sorts them alphabetically.,Tulis kod yang mengambil pelbagai rentetan dan menyusunnya mengikut abjad.,-0.047077056020498276
167,Write code to list every permutation of a given array.,Tulis kod untuk menyenaraikan setiap permutasi array yang diberikan.,0.18150894343852997
168,Can you come up with a Swift code snippet that prints the current date and time?,Bolehkah anda membuat coretan kod Swift yang mencetak tarikh dan masa semasa?,-0.06225607171654701
169,Sort a list of objects by a given property.,Susun senarai objek oleh harta tertentu.,-0.5643222332000732
170,Create a visual representation of an unsorted linked list using the given code.,Buat perwakilan visual senarai berkaitan yang tidak disusun menggunakan kod yang diberikan.,-0.5623716711997986
171,You need to code a script for extracting all the words in a given string limited to a specific chara...,Anda perlu kod skrip untuk mengekstrak semua perkataan dalam rentetan yang diberikan terhad kepada p...,-0.23190677165985107
172,Create a program that creates an array of 10 random numbers in the range of 1 to 100.,Buat program yang mewujudkan pelbagai 10 nombor rawak dalam julat 1 hingga 100.,-0.013849791139364243
173,Convert an array of strings to an object.,Tukar pelbagai rentetan ke objek.,-0.6674720644950867
174,Generate a Swift program to generate an array of random numbers.,Menjana program SWIFT untuk menghasilkan pelbagai nombor rawak.,-0.3715597689151764
175,"Create a function that, given a string and a width, formats the string in a table format with a spec...","Buat fungsi yang, diberi rentetan dan lebar, format rentetan dalam format jadual dengan lebar yang d...",-0.7970343232154846
176,Reverse a string via a Python function.,Balikkan rentetan melalui fungsi python.,-0.26978006958961487
177,Devise an algorithm to find all the possible permutations of the given string.,Merangka algoritma untuk mencari semua permutasi yang mungkin dari rentetan yang diberikan.,0.09231887757778168
178,Write a code to search in an ordered list.,Tulis kod untuk mencari dalam senarai yang diperintahkan.,0.010732697322964668
179,Create a SQL query to fetch the top 3 users with the highest average scores from a table.,Buat pertanyaan SQL untuk mengambil pengguna 3 teratas dengan skor purata tertinggi dari jadual.,-0.11876733601093292
180,Summarize the contents of a data set,Meringkaskan kandungan set data,-0.15681421756744385
181,Generate a function that takes in two string arguments and returns the longer one.,Menjana fungsi yang mengambil dua hujah rentetan dan mengembalikan yang lebih lama.,-0.9575217962265015
182,Write a code snippet to filter all strings that contain the letter 'a' in a list of strings.,Tulis coretan kod untuk menapis semua rentetan yang mengandungi huruf 'A' dalam senarai rentetan.,0.04225015640258789
183,Generate a random string of length 8.,Menghasilkan rentetan panjang rawak 8.,-0.64182049036026
184,Prepare a graphical representation of the given weather data,Sediakan perwakilan grafik data cuaca yang diberikan,-0.19741614162921906
185,Create a JQuery script to display a success message when a form is submitted successfully.,Buat skrip jQuery untuk memaparkan mesej kejayaan apabila borang dikemukakan dengan jayanya.,0.12554071843624115
186,Generate a chessboard game using two dimensional arrays.,Menjana permainan papan catur menggunakan tatasusunan dua dimensi.,0.026907555758953094
187,Write a function to generate a random alphanumeric string.,Tulis fungsi untuk menghasilkan rentetan alfanumerik secara rawak.,0.24543242156505585
188,Create a data model for a to-do list,Buat model data untuk senarai tugasan,0.19371633231639862
189,Edit the following code to sanity check an email address is valid.,Edit kod berikut ke Sanity Semak alamat e -mel adalah sah.,-0.5701793432235718
190,Create a regular expression to find the emails from a string.,Buat ungkapan biasa untuk mencari e -mel dari rentetan.,-0.48479875922203064
191,Construct a database schema in SQL for storing information about an online store,Bina skema pangkalan data di SQL untuk menyimpan maklumat mengenai kedai dalam talian,0.35908442735671997
192,Write a code to generate a random list of 35 of lowercase alphabetical characters without repetition...,Tulis kod untuk menghasilkan senarai rawak 35 aksara abjad huruf kecil tanpa pengulangan.,0.35835152864456177
193,Generate code to fetch the top 3 tweets from followers of a Twitter handle.,Menjana kod untuk mengambil 3 tweet teratas dari pengikut pemegang Twitter.,-0.2647459805011749
194,Write a C++ code snippet to sort a collection of strings alphabetically in ascending order.,Tulis coretan kod C ++ untuk menyusun koleksi rentetan mengikut abjad dalam urutan menaik.,0.10046565532684326
195,Create a program to sort an array of strings by the number of vowels in each string.,Buat program untuk menyusun pelbagai rentetan dengan bilangan vokal dalam setiap rentetan.,-0.26321059465408325
196,Generate a class to represent a queue and its associated methods.,Menjana kelas untuk mewakili barisan dan kaedah yang berkaitan.,-0.18512853980064392
197,Generate a program to approximate pi using n iterations of the Nilkantha series.,Menjana program untuk menghampiri PI menggunakan n penyerahan siri Nilkantha.,-0.7266904711723328
