index,source,translation,score
34,Generate a program to find the longest substring of a given string which does not contain any repeat...,Menjana program untuk mencari substring terpanjang rentetan yang diberikan yang tidak mengandungi wa...,-0.24704855680465698
35,Write a code for calculating the weight of a given word.,Tulis kod untuk mengira berat perkataan tertentu.,0.26317477226257324
36,Develop a web API to retrieve all the records in a table from a MySQL database.,Membangunkan API Web untuk mendapatkan semua rekod dalam jadual dari pangkalan data MySQL.,0.06961828470230103
37,Create a function that takes in a list of any 10 integers and returns True if the list is sorted in ...,Buat fungsi yang mengambil dalam senarai mana -mana 10 bilangan bulat dan pulangan benar jika senara...,-0.4600919187068939
38,Write a function in R language to calculate the average of a vector,Tulis fungsi dalam bahasa R untuk mengira purata vektor,0.267551988363266
39,Design an algorithm to check if the brackets in a string are balanced,Reka bentuk algoritma untuk memeriksa sama ada kurungan dalam rentetan seimbang,-0.11767253279685974
40,Format a sequence of strings with a given pattern.,Format urutan rentetan dengan corak yang diberikan.,-0.413331538438797
41,Write a JavaScript program for converting an array of numbers into a string.,Tulis program JavaScript untuk menukar pelbagai nombor ke dalam rentetan.,0.09468525648117065
42,Write a Python program to identify strings with all unique characters,Tulis program python untuk mengenal pasti rentetan dengan semua watak yang unik,-0.14700227975845337
43,Transform the following noun phrase into a syntactically correct command.,Ubah frasa kata nama berikut ke dalam perintah yang betul secara sintaktik.,-0.17870309948921204
44,Generate a SQL query to retrieve the average daily temperature for all cities,Menjana pertanyaan SQL untuk mengambil suhu harian purata untuk semua bandar,-0.10191340744495392
45,Suggest a code to randomly sample records from a given dataframe.,Cadangkan kod untuk mencatatkan rekod secara rawak dari data data yang diberikan.,0.07765550911426544
46,Develop an Android app for a task-reminder service,Membangunkan aplikasi Android untuk perkhidmatan penghantar tugas,-0.08886046707630157
47,Generate a code that encodes given string using Huffman Coding,Menjana kod yang dikodkan diberikan rentetan menggunakan pengekodan huffman,-0.5745884776115417
48,Generate a Python class called Student with instance variables 'name' and 'grade'.,Menjana kelas Python yang dipanggil Pelajar dengan Nama Pembolehubah Contoh 'dan' Gred '.,-0.8335104584693909
49,Use a nested for-loop in C++ to print the multiplication table up to 10.,Gunakan gelung bersarang di C ++ untuk mencetak jadual pendaraban sehingga 10.,-0.7975136041641235
50,Implement a neural network for text summarization.,Melaksanakan rangkaian saraf untuk ringkasan teks.,-0.46158239245414734
51,Can you construct a regex pattern that matches any 8 character alphabetic string beginning with a ca...,Bolehkah anda membina corak regex yang sepadan dengan rentetan abjad 8 aksara bermula dengan huruf m...,-0.13772249221801758
52,Design a function that returns the mode of a list,Reka bentuk fungsi yang mengembalikan mod senarai,-0.567831814289093
53,Create an algorithm to find the frequency of each word in a given string,Buat algoritma untuk mencari kekerapan setiap perkataan dalam rentetan yang diberikan,0.40048640966415405
54,Generate a correct Python program to copy a list.,Menjana program python yang betul untuk menyalin senarai.,0.08103358745574951
55,Develop a Java program to find the longest common prefix of an array of strings.,Membangunkan program Java untuk mencari awalan umum terpanjang pelbagai rentetan.,-0.6000549793243408
56,Write a Java program to find the closest pair of points from a given array of coordinates,Tulis program Java untuk mencari sepasang mata terdekat dari pelbagai koordinat,0.12180562317371368
57,Use Machine Learning to classify handwritten digits,Gunakan pembelajaran mesin untuk mengklasifikasikan digit tulisan tangan,0.5404025912284851
58,Construct a function to compress a given string using run-length encoding.,Bina fungsi untuk memampatkan rentetan yang diberikan menggunakan pengekodan jangka panjang.,-0.58528071641922
59,Generate a random string of length n that contains all lowercase letters.,Menjana rentetan rawak panjang n yang mengandungi semua huruf kecil.,-0.26900508999824524
60,What is the output of the following C code snippet?,Apakah output coretan kod C berikut?,0.22729414701461792
61,Create a dictionary that contains the frequency of each character in a given string.,Buat kamus yang mengandungi kekerapan setiap aksara dalam rentetan yang diberikan.,-0.03892025351524353
62,Design a Python program to print out all prime numbers in a range,Reka Program Python untuk Mencetak Semua Nombor Perdana Dalam Julat,-0.3936815559864044
63,Generate a code to convert a binary string to its ASCII equivalent.,Menjana kod untuk menukar rentetan binari ke setara ASCII.,-0.07656130194664001
64,Update the existing code to create a more efficient algorithm to solve the given problem,Kemas kini kod yang ada untuk membuat algoritma yang lebih berkesan untuk menyelesaikan masalah yang...,0.509060263633728
65,Reverse a string recursively.,Membalikkan rentetan secara rekursif.,-0.09549252688884735
66,Compute the maximum sum of a contiguous subarray of an array of real numbers.,Kirakan jumlah maksimum subarray bersebelahan dengan pelbagai nombor sebenar.,-0.7117949724197388
67,Create a function that takes a string and adds a specified number of characters to the end of the st...,Buat fungsi yang mengambil rentetan dan menambah bilangan aksara yang ditentukan ke hujung rentetan.,-0.4698866307735443
68,Generate a random password in Java.,Menjana kata laluan rawak di Java.,-0.2495872974395752
69,Generate an optimized expression tree for a given arithmetic expression.,Menjana pokok ekspresi yang dioptimumkan untuk ekspresi aritmetik yang diberikan.,-0.3024943768978119
70,Create an application that prints the current stock price of a given company.,Buat aplikasi yang mencetak harga saham semasa syarikat tertentu.,0.058871522545814514
71,Build a response routing program for a website.,Bina program penghalaan respons untuk laman web.,0.3211776316165924
72,Design a class and its members for a user profile,Merancang kelas dan ahli -ahlinya untuk profil pengguna,-0.22441482543945312
73,Generate a Python program to group a given list of strings into a dictionary based on the length of ...,Menjana program python untuk mengumpulkan senarai rentetan yang diberikan ke dalam kamus berdasarkan...,0.08903338015079498
74,Design a program in java which creates a thread and shows a message on the console,Reka Program di Java yang mencipta benang dan menunjukkan mesej di konsol,0.0937979519367218
75,Create a Python program to calculate the factorial of an integer,Buat program python untuk mengira faktorial integer,0.026003438979387283
76,Construct a mySQL query to list the last 10 records from a customers table.,Bina pertanyaan MySQL untuk menyenaraikan 10 rekod terakhir dari jadual pelanggan.,-0.3315958082675934
77,Compute the product of an array of integers given as an input.,Kirakan produk pelbagai bilangan bulat yang diberikan sebagai input.,-0.5097518563270569
78,Create a HTML page that displays a temperature gauge in real time. An API is available to retrieve t...,Buat halaman HTML yang memaparkan tolok suhu dalam masa nyata. API tersedia untuk mendapatkan suhu s...,0.15030181407928467
79,Train a reinforcement learning agent to navigate a maze.,Melatih ejen pembelajaran tetulang untuk menavigasi labirin.,-0.5462889075279236
80,Create a SQL query to find the record with the maximum price from a given table.,Buat pertanyaan SQL untuk mencari rekod dengan harga maksimum dari jadual yang diberikan.,-0.08202509582042694
81,Generate a program to find the intersection of two lists.,Menjana program untuk mencari persimpangan dua senarai.,-0.4037990868091583
82,Generate a program to determine if a given list is of balanced parentheses,Menjana program untuk menentukan sama ada senarai tertentu adalah tanda kurnia yang seimbang,-0.5486180186271667
83,Propose an algorithm for job scheduling with limited resources,Mencadangkan algoritma untuk penjadualan pekerjaan dengan sumber terhad,0.3984707295894623
84,Write a PHP script to calculate the summation of a given list of integers.,Tulis skrip PHP untuk mengira penjumlahan senarai integer yang diberikan.,0.3832491934299469
85,Sort the elements in a given list.,Susun unsur -unsur dalam senarai tertentu.,0.1333640217781067
86,Develop an algorithm in JavaScript that sorts an array of numbers in increasing order?,Membangunkan algoritma dalam JavaScript yang menyusun pelbagai nombor dalam peningkatan urutan?,0.026948541402816772
87,Modify the given expression to return the absolute value of a number.,Ubah suai ungkapan yang diberikan untuk mengembalikan nilai mutlak nombor.,-0.24501290917396545
88,Generate regular expression that matches any two or more consecutive numbers,Menjana ungkapan biasa yang sepadan dengan dua atau lebih nombor berturut -turut,-0.22312863171100616
89,Create a program that will sum up the values in an array of numbers.,Buat program yang akan meringkaskan nilai dalam pelbagai nombor.,-0.08494743704795837
90,Create a random number generator in Python.,Buat penjana nombor rawak di Python.,-0.1106717586517334
91,Generate a code that takes in a hashmap of words and checks if it contains a given string,Menjana kod yang mengambil hashmap perkataan dan cek jika ia mengandungi rentetan yang diberikan,-0.4747607409954071
92,Generate an algorithm in Python to determine the count of each occurrence of a given character in a ...,Menjana algoritma dalam python untuk menentukan kiraan setiap kejadian watak tertentu dalam rentetan,-0.1412467658519745
93,Generate a code to find out the numbers between a given range that are divisible by both 3 and 7.,Menjana kod untuk mengetahui nombor antara julat tertentu yang boleh dibahagikan dengan kedua -dua 3...,-0.1858840137720108
94,Create a program that can calculate the variance of a list of numbers.,Buat program yang boleh mengira varians senarai nombor.,-0.4483993351459503
95,Generate an alphabetically sorted array of all unique words in the given short story.,Menjana pelbagai abjad yang disusun mengikut semua perkataan yang unik dalam cerita pendek yang dibe...,0.0039069391787052155
96,Create an HTML page with a form that includes inputs for a username and password. Include an input c...,Buat halaman HTML dengan borang yang merangkumi input untuk nama pengguna dan kata laluan. Sertakan ...,0.4361955225467682
97,"Suggest an álgorithm to solve the ""Tower of Hanoi"" problem.","Cadangkan álgoritma untuk menyelesaikan masalah ""Menara Hanoi"".",-0.29988452792167664
98,Sort the given array of integers in ascending order without using any in-built functions.,Susun pelbagai integer yang diberikan dalam urutan menaik tanpa menggunakan sebarang fungsi yang dib...,-0.2911931574344635
99,Insert a new node at the nth position in a singly linked list.,Masukkan nod baru di kedudukan nth dalam senarai yang berkaitan.,-0.2690310478210449
100,Compose code in C# to calculate the mean value of a given array of numbers,Tulis kod dalam C# untuk mengira nilai min bagi pelbagai nombor yang diberikan,0.19003936648368835
101,Convert the number to its equivalent binary representation.,Tukar nombor ke perwakilan binari yang setara.,-0.6919847130775452
102,Develop a Bash script to sort a list of integers.,Membangunkan skrip bash untuk menyusun senarai bilangan bulat.,-0.4028593897819519
103,Generate a random string of length 16 containing only lowercase characters and numbers.,Menjana rentetan panjang rawak 16 yang mengandungi hanya aksara dan nombor huruf kecil.,-0.03372113034129143
104,Write a function to calculate the longest common subsequence of two strings.,Tulis fungsi untuk mengira seterusnya yang paling lama dari dua rentetan.,-0.5414077639579773
105,Construct a Node.js server that returns a random Student object whenever requested.,Bina pelayan Node.js yang mengembalikan objek pelajar rawak apabila diminta.,-0.11305209994316101
106,Create an algorithm to count the number of adjacent off-diagonal squares in a 2-dimensional array.,Buat algoritma untuk mengira bilangan dataran luar diagonal bersebelahan dalam pelbagai 2 dimensi.,-0.23304426670074463
107,Create a Django REST API that retrieves all the products in a products table from a database and dis...,Buat API REST DJANGO yang mengambil semua produk dalam jadual produk dari pangkalan data dan memapar...,-0.2554691433906555
108,Generate a program to classify detailed descriptions of dog breeds into their respective classes.,Menjana program untuk mengklasifikasikan penerangan terperinci tentang baka anjing ke dalam kelas ma...,-0.2731800973415375
109,Create a custom sorting algorithm to sort a string alphabetically,Buat algoritma penyortiran tersuai untuk menyusun rentetan mengikut abjad,0.3424849808216095
110,Write a code to generate the random passwords of 12 characters.,Tulis kod untuk menghasilkan kata laluan rawak sebanyak 12 aksara.,0.5301223397254944
111,Design a JavaScript function to calculate square of a number,Reka bentuk fungsi JavaScript untuk mengira persegi nombor,0.12912078201770782
112,Create a function to return a list of divisors of a number.,Buat fungsi untuk mengembalikan senarai pembahagi nombor.,-0.5538164973258972
113,Implement a sorting algorithm to arrange a sequence of numbers in ascending order.,Melaksanakan algoritma penyortiran untuk mengatur urutan nombor dalam urutan menaik.,-0.00328083336353302
114,Write a Java program to check if an element is present in an array,Tulis program Java untuk memeriksa sama ada elemen hadir dalam pelbagai,-0.39138704538345337
115,Do you know how to build a web crawler?,Adakah anda tahu bagaimana membina crawler web?,0.628321647644043
116,Design a Java program to find the standard deviation of an array of numbers.,Reka bentuk program Java untuk mencari sisihan piawai pelbagai nombor.,-0.26641544699668884
117,Write a function in Java that takes an array of integers as an argument and returns an array of all ...,Tulis fungsi di Java yang mengambil pelbagai bilangan bulat sebagai hujah dan mengembalikan pelbagai...,-0.3876204490661621
118,Generate a query to calculate the average of units sold per month in the orders table.,Menjana pertanyaan untuk mengira purata unit yang dijual setiap bulan dalam jadual pesanan.,-0.3199674189090729
119,Write a Python program to split a string into a list of words.,Tulis program python untuk memecah rentetan ke dalam senarai perkataan.,0.26040714979171753
120,Generate a C++ program for sorting a list of names using Insertion Sort,Menjana program C ++ untuk menyusun senarai nama menggunakan jenis penyisipan,-0.17126725614070892
121,Generate a regular expression for validating the given email address format.,Menjana ungkapan biasa untuk mengesahkan format alamat e -mel yang diberikan.,-0.05570812150835991
122,Write a code that can generate a random password of length 8 using lowercase and uppercase letters w...,Tulis kod yang boleh menghasilkan kata laluan panjang rawak 8 menggunakan huruf kecil dan huruf besa...,0.08533750474452972
123,Suggest a completion for the following method to delete a node from a given linked list.,Cadangkan siap untuk kaedah berikut untuk memadam nod dari senarai yang dipautkan.,-0.42774897813796997
124,Construct a program to sort an array of strings alphabetically.,Membina program untuk menyusun pelbagai rentetan mengikut abjad.,-0.27765724062919617
125,Create a program to compute the surface area of a sphere given its radius.,Buat program untuk mengira kawasan permukaan sfera yang diberikan jejari.,-0.14636461436748505
126,Implement an algorithm to parse a valid URL,Melaksanakan algoritma untuk menghuraikan URL yang sah,-0.20168599486351013
127,Develop an AI-based chatbot using the Intent Classification and Named Entity Recognition techniques.,Membangunkan chatbot berasaskan AI menggunakan klasifikasi niat dan teknik pengiktirafan entiti yang...,-0.2540772259235382
128,Write a script to generate all combinations of a given list of strings.,Tulis skrip untuk menghasilkan semua kombinasi senarai rentetan yang diberikan.,0.1434040665626526
129,Adjust the following code snippet to make it easier to maintain,Sesuaikan coretan kod berikut untuk memudahkannya,-0.15388989448547363
130,Develop an algorithm to detect fraud in bank transactions,Membangunkan algoritma untuk mengesan penipuan dalam urus niaga bank,0.55596923828125
131,Generate a function in Java that takes an array of strings and returns the length of the longest str...,Menjana fungsi di Java yang mengambil pelbagai rentetan dan mengembalikan panjang rentetan terpanjan...,-0.6556848883628845
132,Generate a random string of a given length in JavaScript.,Menghasilkan rentetan rawak panjang yang diberikan dalam JavaScript.,-0.17349262535572052
133,Create a function that takes a given string and checks if it contains any duplicate characters.,Buat fungsi yang mengambil rentetan dan cek yang diberikan jika ia mengandungi mana -mana aksara pen...,-0.6109951138496399
134,Generate a Ruby method that takes two strings as arguments and returns the number of characters in t...,Menjana kaedah ruby yang mengambil dua rentetan sebagai hujah dan mengembalikan bilangan aksara dala...,-0.5200626850128174
135,Optimize a TensorFlow model for running on mobile devices,Mengoptimumkan model Tensorflow untuk berjalan pada peranti mudah alih,0.06830048561096191
136,Create a program that assigns a given list of strings into buckets based on their length.,Buat program yang memberikan senarai rentetan yang diberikan ke dalam baldi berdasarkan panjangnya.,-0.332602322101593
137,Develop a neural network model that predicts the stock price of Apple,Membangunkan model rangkaian saraf yang meramalkan harga saham Apple,0.36134836077690125
138,Create an SQL query to fetch the most recent date in its database table.,Buat pertanyaan SQL untuk mengambil tarikh terbaru dalam jadual pangkalan datanya.,-0.36510297656059265
139,Generate an appropriate comment for this code snippet.,Menjana komen yang sesuai untuk coretan kod ini.,-0.460904598236084
140,"Generate a random password with at least 8 characters that includes at least one number, one upperca...",Menjana kata laluan rawak dengan sekurang -kurangnya 8 aksara yang merangkumi sekurang -kurangnya sa...,0.3709692060947418
141,Write a Python program to flatten a dictionary of nested dictionaries.,Tulis program python untuk meratakan kamus kamus bersarang.,-0.5822609663009644
142,Create a Python script for generating a random password of length 8.,Buat skrip python untuk menghasilkan kata laluan rawak panjang 8.,-0.5409581065177917
143,Generate a secure random 16-character string in Java.,Menjana rentetan 16 aksara rawak yang selamat di Java.,-0.32034364342689514
144,Simplify the following function,Memudahkan fungsi berikut,-0.0861041396856308
145,Generate a random list of integers from 0-10 of size 10.,Menjana senarai integer rawak dari 0-10 saiz 10.,-0.4989626109600067
146,Modify the given code to make it structurally sound.,Ubah suai kod yang diberikan untuk menjadikannya secara struktural.,0.03742491453886032
147,Reverse engineer the following code snippet to understand what it does and why.,Jurutera terbalik Kod coretan berikut untuk memahami apa yang dilakukannya dan mengapa.,-0.3675774037837982
148,"Generate a solution to the given optimization problem: Minimize 3x+2y-2z such that x+2y+3z>5, x+y>1,...",Menjana penyelesaian kepada masalah pengoptimuman yang diberikan: Kurangkan 3x+2y-2z sedemikian,-0.6386938691139221
149,Develop a Java program to sort an array of integers using the Bubble Sort algorithm,Membangunkan program Java untuk menyusun pelbagai bilangan bulat menggunakan algoritma jenis gelembu...,-0.10192000865936279
150,Generate a SQL query to list the highest paid employee of a given company.,Menjana pertanyaan SQL untuk menyenaraikan pekerja berbayar tertinggi syarikat tertentu.,-0.31517791748046875
151,Create an SQL query to update the price of a product in a database.,Buat pertanyaan SQL untuk mengemas kini harga produk dalam pangkalan data.,0.15541209280490875
152,Generate a UUID using JavaScript.,Menjana uuid menggunakan javascript.,-0.2519042491912842
153,Develop code to find the most common letter in a given string.,Membangunkan kod untuk mencari surat yang paling biasa dalam rentetan yang diberikan.,-0.3721176087856293
154,"Given an array of integers, write an algorithm to determine whether any two numbers add up to a give...","Memandangkan pelbagai bilangan bulat, tulis algoritma untuk menentukan sama ada dua nombor menambah ...",-0.35729607939720154
155,Generate a program to print out a multiplication table of size nxn.,Menjana program untuk mencetak jadual pendaraban saiz NXN.,-0.7031347155570984
156,Design a function to generate random alphanumeric characters.,Reka bentuk fungsi untuk menghasilkan aksara alfanumerik secara rawak.,0.1764671355485916
157,Create a Bash script which prints out the current date,Buat skrip bash yang mencetak tarikh semasa,-0.751431405544281
158,Sort the given array in ascending order.,Susun array yang diberikan dalam urutan menaik.,0.1699168086051941
159,Design an algorithm that takes an array of numbers and computes the sum of squares of the elements,Reka bentuk algoritma yang mengambil pelbagai nombor dan mengira jumlah kuadrat elemen,0.11079111695289612
160,Create a program to sort a list of string in alphabetical order.,Buat program untuk menyusun senarai rentetan dalam susunan abjad.,0.061768028885126114
161,Generate a PHP code snippet to render an HTML table,Menjana coretan kod PHP untuk menjadikan jadual HTML,-0.04489613696932793
162,Build an algorithm to sort a given array of integers.,Bina algoritma untuk menyusun pelbagai bilangan bulat.,0.04429887235164642
163,Sort the following list of numbers in ascending order,Susun senarai nombor berikut dalam urutan menaik,0.41555625200271606
164,Develop a linear search algorithm,Membangunkan algoritma carian linear,0.3998957574367523
165,Create an AI agent to solve a board game with a randomly shuffled board,Buat ejen AI untuk menyelesaikan permainan papan dengan papan yang rawak,-0.33977869153022766
166,"Serves as a task template, normalize a string by removing all special characters and spaces.","Berkhidmat sebagai template tugas, menormalkan rentetan dengan mengeluarkan semua aksara dan ruang k...",-0.46823346614837646
167,Generate a random ID number of 6 characters in length using JavaScript.,Menjana nombor ID rawak 6 aksara panjang menggunakan JavaScript.,0.5059187412261963
168,Develop a function that generates a random fractal,Mengembangkan fungsi yang menghasilkan fraktal rawak,-0.37057551741600037
169,Create a shorthand comparison operator that evaluates a boolean expression,Buat pengendali perbandingan singkat yang menilai ungkapan boolean,-0.7498359084129333
170,Produce a program to remove duplicate entries from a given array of integers,Menghasilkan program untuk membuang entri pendua dari pelbagai bilangan bulat,-0.6401612162590027
171,Rewrite this code in Java,Tulis semula kod ini di Java,0.5323377847671509
172,Generate a random key of 11 characters using an online library.,Menjana kunci rawak 11 aksara menggunakan perpustakaan dalam talian.,0.22120115160942078
173,Generate code to display the following output:,Menjana kod untuk memaparkan output berikut:,0.24687056243419647
174,Write a sorting routine in Java to sort an array of integers.,Tulis rutin penyortiran di Java untuk menyusun pelbagai bilangan bulat.,-0.491970032453537
175,Create a function that takes an array of strings and returns an array of the same strings sorted alp...,Buat fungsi yang mengambil pelbagai rentetan dan mengembalikan pelbagai rentetan yang sama disusun m...,-0.37056389451026917
176,Generate a random string of 5 characters from a given set of characters.,Menjana rentetan rawak 5 aksara dari satu set aksara yang diberikan.,-0.1406491994857788
177,Write a query in SQL to find the average salary of all the employees in a given department,Tulis pertanyaan di SQL untuk mencari gaji purata semua pekerja di jabatan yang diberikan,0.17025627195835114
178,Produce a PHP code snippet to calculate the total cost of items in a shopping cart.,Menghasilkan coretan kod PHP untuk mengira jumlah kos item dalam keranjang belanja.,0.18538925051689148
179,Generate a code given a function and variable names,Menjana kod yang diberikan fungsi dan nama berubah -ubah,-0.1668662130832672
180,Apply basic code optimization techniques to the following code snippet.,Sapukan teknik pengoptimuman kod asas ke coretan kod berikut.,0.09316971898078918
181,Develop a program that calculates the area of square.,Membangunkan program yang mengira kawasan persegi.,-0.2263701856136322
182,Design a database schema to store news articles.,Reka bentuk skema pangkalan data untuk menyimpan artikel berita.,0.32917600870132446
183,Implement a solution to convert a given string to camel case.,Melaksanakan penyelesaian untuk menukar rentetan yang diberikan kepada kes unta.,-0.5143247842788696
184,Write a pascal program that calculates the area of a rectangle.,Tulis program Pascal yang mengira kawasan segi empat tepat.,-0.2186051607131958
185,Write a code to extract the email of the user from a given string,Tulis kod untuk mengeluarkan e -mel pengguna dari rentetan yang diberikan,-0.13849014043807983
186,Create a R program that takes a vector of numbers and returns a logical vector denoting whether each...,Buat program R yang mengambil vektor nombor dan mengembalikan vektor logik yang menandakan sama ada ...,-0.0911225974559784
187,Generate a code for computing the mean of a list of numbers.,Menjana kod untuk mengira min senarai nombor.,-0.6208462119102478
188,Convert the given dictionary into a list,Tukar kamus yang diberikan ke dalam senarai,-0.13357767462730408
189,Generate a Swift function that takes an array of integers and returns an array of sorted even number...,Menjana fungsi pantas yang mengambil pelbagai bilangan bulat dan mengembalikan pelbagai nombor yang ...,-0.22308582067489624
190,Categorize a list of strings according to the length of strings.,Kategorikan senarai rentetan mengikut panjang rentetan.,-0.24536773562431335
191,Take a string and output a list of all the words comprising the string,Ambil rentetan dan output senarai semua perkataan yang terdiri daripada rentetan,-0.2694428265094757
192,Generate a code snippet to print out the all the elements of a linked list.,Menjana coretan kod untuk mencetak semua elemen senarai yang dipautkan.,-0.2889428436756134
193,Write a quick sort program to sort an array of integer numbers,Tulis program semacam cepat untuk menyusun pelbagai nombor integer,-0.45479461550712585
194,Create a MySQL query to calculate the average price of products,Buat pertanyaan MySQL untuk mengira harga purata produk,0.29210513830184937
195,Generate an optimized SQL query to perform a count of all records in a table,Menjana pertanyaan SQL yang dioptimumkan untuk melaksanakan kiraan semua rekod dalam jadual,-0.2928329408168793
196,Sort the given array using Quick Sort.,Susun array yang diberikan dengan cepat.,-0.14008837938308716
197,Write an algorithm to perform supervised learning using a random forest classifier.,Tulis algoritma untuk melakukan pembelajaran yang diawasi menggunakan pengelas hutan rawak.,-0.1048395037651062
198,Write a JavaScript program to display a countdown timer.,Tulis program JavaScript untuk memaparkan pemasa undur.,-0.4260585308074951
199,Create a Python program to sort the elements of a list in descending order (largest value first).,Buat program Python untuk menyusun unsur -unsur senarai dalam perintah menurun (nilai terbesar perta...,-0.19688743352890015
200,Optimize a given piece of code for efficiency.,Mengoptimumkan sekeping kod yang diberikan untuk kecekapan.,-0.09694607555866241
201,Create an HTML table to display the cars from a given database table.,Buat jadual HTML untuk memaparkan kereta dari jadual pangkalan data yang diberikan.,-0.16659605503082275
202,Generate an HTML page with a paragraph containing text that has both background and foreground color...,Menjana halaman HTML dengan perenggan yang mengandungi teks yang mempunyai latar belakang dan warna ...,0.09113767743110657
203,Design a function to find the maximum sum of a contiguous subarray of an array of integers.,Reka bentuk fungsi untuk mencari jumlah maksimum subarray bersebelahan pelbagai bilangan bulat.,-0.6182011365890503
204,Can you construct a SQL query that returns the total number of customer records in the customer tabl...,Bolehkah anda membina pertanyaan SQL yang mengembalikan jumlah rekod pelanggan dalam jadual pelangga...,-0.10117140412330627
205,Format a phone number so that each number is separated by a hyphen,Format nombor telefon supaya setiap nombor dipisahkan oleh tanda hubung,0.39346036314964294
